File Path	File Name	Thumbnail	Projection	type	grid	description	image_format	organism	cell_type	cell_subtype	treatment
https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-kidney-glomerulus-2/jrc_mus-kidney-glomerulus-2.zarr/recon-1/em/fibsem-uint8/	jrc_mus-kidney-glomerulus-2	https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-kidney-glomerulus-2/thumbnail.jpg		intensities	em	Mouse kidney glomerulus	zarr			Kidney	
https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-liver/jrc_mus-liver.zarr/recon-1/em/fibsem-uint8/	jrc_mus-liver	https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-liver/thumbnail.jpg		intensities	em	Mouse Liver	zarr	Mus musculus	Tissue	Liver	Wild-type
https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-liver-3/jrc_mus-liver-3.zarr/recon-1/em/fibsem-uint8	jrc_mus-liver-3	https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-liver-3/thumbnail.jpg		intensities	em	P7 Mouse liver	zarr	Mus musculus	Tissue	Liver	Wild-type
https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-liver-4/jrc_mus-liver-4.zarr/recon-1/em/fibsem-uint8	jrc_mus-liver-4	https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-liver-4/thumbnail.jpg		intensities	em	Lean Male Mouse Liver (Fed State, EMPIAR 6461)	zarr		Tissue	Liver	
https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-liver-5/jrc_mus-liver-5.zarr/recon-1/em/fibsem-uint8	jrc_mus-liver-5	https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-liver-5/thumbnail.jpg		intensities	em	Obese Male Mouse Liver (Fed State, EMPIAR 6464)	zarr		Tissue	Liver	
https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-liver-6/jrc_mus-liver-6.zarr/recon-1/em/fibsem-uint8	jrc_mus-liver-6	https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-liver-6/thumbnail.jpg		intensities	em	Obese Male Mouse Liver (Fed State, EMPIAR 9430)	zarr		Tissue	Liver	
https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-liver-7/jrc_mus-liver-7.zarr/recon-1/em/fibsem-uint8	jrc_mus-liver-7	https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-liver-7/thumbnail.jpg		intensities	em	Obese Male Mouse Liver (Fed State, EMPIAR 1857)	zarr		Tissue	Liver	
https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-liver-zon-1/jrc_mus-liver-zon-1.zarr/recon-1/em/fibsem-uint8/	jrc_mus-liver-zon-1	https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-liver-zon-1/thumbnail.jpg		intensities	em	Mouse liver acinus	zarr			Liver	
https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-liver-zon-2/jrc_mus-liver-zon-2.zarr/recon-1/em/fibsem-uint8	jrc_mus-liver-zon-2	https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-liver-zon-2/thumbnail.jpg		intensities	em	Mouse liver acinus	zarr			Liver	
https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-nacc-1/jrc_mus-nacc-1.zarr/recon-1/em/fibsem-uint8/	jrc_mus-nacc-1	https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-nacc-1/thumbnail.jpg		intensities	em	Mouse nucleus accumbens	zarr	Mus musculus	Tissue	Brain	
https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-nacc-2/jrc_mus-nacc-2.zarr/recon-2/em/fibsem-int16	jrc_mus-nacc-2	https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-nacc-2/thumbnail.jpg		intensities	em	Mouse nucleus accumbens	zarr	Mus musculus	Tissue	Brain	
https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-nacc-3/jrc_mus-nacc-3.zarr/recon-2/em/fibsem-int16	jrc_mus-nacc-3	https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-nacc-3/thumbnail.jpg		intensities	em	Mouse nucleus accumbens	zarr	Mus musculus	Tissue	Brain	
https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-nacc-4/jrc_mus-nacc-4.zarr/recon-2/em/fibsem-int16	jrc_mus-nacc-4	https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-nacc-4/thumbnail.jpg		intensities	em	Mouse nucleus accumbens	zarr	Mus musculus	Tissue	Brain	
https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-sc-zp105a/jrc_mus-sc-zp105a.zarr/recon-1/em/fibsem-uint8/	jrc_mus-sc-zp105a	https://janelia-cosem-datasets.s3.amazonaws.com/jrc_mus-sc-zp105a/thumbnail.jpg		intensities	em	Mouse Spinal Cord	zarr	Mus musculus	Tissue	Spinal Cord	Double-mutant
https://janelia-cosem-datasets.s3.amazonaws.com/jrc_sum159-1/jrc_sum159-1.zarr/recon-1/em/fibsem-uint8	jrc_sum159-1	https://janelia-cosem-datasets.s3.amazonaws.com/jrc_sum159-1/thumbnail.jpg		intensities	em	Immortalized breast cancer cell (SUM159)	zarr	Homo sapiens	Cell culture	SUM-159	Wild-type,Oleic acid
https://janelia-cosem-datasets.s3.amazonaws.com/jrc_sum159-4/jrc_sum159-4.zarr/recon-1/em/fibsem-uint8/	jrc_sum159-4	https://janelia-cosem-datasets.s3.amazonaws.com/jrc_sum159-4/thumbnail.jpg		intensities	em	Immortalized breast cancer cell (SUM159)	zarr			TNBC	
https://janelia-cosem-datasets.s3.amazonaws.com/jrc_ut21-1413-003/jrc_ut21-1413-003.zarr/recon-1/em/fibsem-uint8/	jrc_ut21-1413-003	https://janelia-cosem-datasets.s3.amazonaws.com/jrc_ut21-1413-003/thumbnail.jpg		intensities	em	Human renal carcinoma cell	zarr			Kidney	
https://janelia-cosem-datasets.s3.amazonaws.com/jrc_zf-cardiac-1/jrc_zf-cardiac-1.zarr/recon-1/em/fibsem-uint8/	jrc_zf-cardiac-1	https://janelia-cosem-datasets.s3.amazonaws.com/jrc_zf-cardiac-1/thumbnail.jpg		intensities	em	7 day post fertilization larval zebrafish cardiac tissue	zarr			Heart	
